affiliation,ROR_Affiliation,ROR_Name
"Instituto de Investigação e Inovação em Saúde, Universidade do Porto, Porto, Portugal; IBMC - Instituto de Biologia Molecular e Celular, Universidade do Porto, Porto, Portugal",https://ror.org/043pwc612,University of Porto
"Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA, USA",https://ror.org/05dxps055,California Institute of Technology
"National Institute of Water and Atmospheric Research Ltd (NIWA), Lauder (NZ)",https://ror.org/04hxcaz34,National Institute of Water and Atmospheric Research
"Bourns College of Engineering, Center for Environmental Research and Technology, Riverside, CA, USA ",https://ror.org/03nawhv43,"University of California, Riverside"
Independent,,
"Department of Planetary Sciences, University of Arizona, Tucson, AZ, USA",https://ror.org/03m2x1q45,University of Arizona
"University of California, San Diego, La Jolla, CA, USA",https://ror.org/0168r3w48,"University of California, San Diego"
World Wildlife Fund,https://ror.org/011590k05,World Wide Fund for Nature
"California Institute of Technology, Division of Biology and Biological Engineering",https://ror.org/05dxps055,California Institute of Technology
UCR,https://ror.org/03nawhv43,"University of California, Riverside"
UCLA,https://ror.org/046rm7j60,"University of California, Los Angeles"
"Department of Molecular Biosciences, University of Kansas",https://ror.org/001tmjg57,University of Kansas
"Jet Propulsion Laboratory, California Institute of Technology",,
"Izaña Atmospheric Research Center, Agencia Estatal de Meteorología (AEMET), Santa Cruz de Tenerife (ES)",https://ror.org/04kxf1r09,Agencia Estatal de Meteorología
University of Southern California,https://ror.org/03taz7m60,University of Southern California
First Philipine Holdings (PH),,
Universidad Nacional de Ucayali,https://ror.org/02rp4gd98,Universidad Nacional de Ucayali
United States Geological Survey,https://ror.org/035a68863,United States Geological Survey
"Howard Hughes Medical Institute, Division of Biology and Biological Engineering, California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA.",,
"FlyBase, Department of Physiology, Development and Neuroscience, University of Cambridge, Cambridge, CB2 3DY, UK",https://ror.org/013meh722,University of Cambridge
"Fujitsu Japan, Minato-ku, Tokyo (JP)",https://ror.org/038e2g226,Fujitsu (Japan)
"Caltech, Division of Geological and Planetary Sciences ",https://ror.org/05dxps055,California Institute of Technology
TCCON Consortium,,
"Laboratoire des Sciences du Climat et de l'Environnement, Gif-sur-Yvette (FR)",https://ror.org/03dsd0g48,Laboratoire des Sciences du Climat et de l'Environnement
"Max Planck Institute for Biogeochemistry, Jena, Germany.",https://ror.org/051yxp643,Max Planck Institute for Biogeochemistry
"Fundación Instituto Leloir, Buenos Aires, Argentina",https://ror.org/0431v7h69,Fundación Instituto Leloir
Berkeley,https://ror.org/01an7q238,"University of California, Berkeley"
"Mills College, Oakland CA USA",https://ror.org/01ynb8e46,Mills College
State University of New York,https://ror.org/01q1z8k08,State University of New York
NYU Abu Dhabi,https://ror.org/00e5k0821,New York University Abu Dhabi
"State Key Laboratory of Advanced Optical Communication Systems and Networks, School of Physics and Astronomy, Shanghai Jiao Tong University",https://ror.org/0220qvk04,Shanghai Jiao Tong University
The University of Chicago,https://ror.org/024mw5h28,University of Chicago
"Aix Marseille Univ, INSERM, CNRS, CIML, Turing Centre for Living Systems, Marseille, France",,
"Department of Electrical Engineering, Stanford University",https://ror.org/00f54p054,Stanford University
"Hammelman Communications, Pagosa Springs, CO (US)",,
TU Darmstadt,https://ror.org/05n911h24,Technical University of Darmstadt
"Division of Geological and Planetary Sciences, Caltech, Pasadena, Ca 91125, USA",https://ror.org/05dxps055,California Institute of Technology
"Applied Physics and Materials Science, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
Caltech Optical Observatories,https://ror.org/05dxps055,California Institute of Technology
Cambridge University,https://ror.org/013meh722,University of Cambridge
"School of Engineering and Applied Sciences, Harvard University, Cambridge, MA (USA)",https://ror.org/03vek6s52,Harvard University
"Ariane Tracking Station, Ascension Island (SH)",https://ror.org/03wd9za21,European Space Agency
University of Toulouse,https://ror.org/004raaa70,Federal University of Toulouse Midi-Pyrénées
Windward School Department of Science and Technology,,
Planetary Science Institute,https://ror.org/05vvg9554,Planetary Science Institute
Eidgenössische Technische Hochschule Zürich,https://ror.org/05a28rw58,ETH Zurich
"Marquette University, Milwaukee, WI, USA",https://ror.org/04gr4te78,Marquette University
NASA Jet Propulsion Laboratory,https://ror.org/027k65916,Jet Propulsion Lab
"Department of Molecular and Cellular Pharmacology, University of Miami Miller School of Medicine, Miami, FL, USA 33101",https://ror.org/02dgjyy92,University of Miami
"Ludwig-Maximilians-Universität München, Lehrstuhl für Physik der Atmosphäre, Munich (DE)",https://ror.org/05591te55,Ludwig-Maximilians-Universität München
"Jagiellonian University in Kraków, Institute of Environmental Sciences, Poland",https://ror.org/03bqmcz70,Jagiellonian University
China University of Geosciences (Beijing),https://ror.org/04gcegc37,China University of Geosciences
"DOE ARM Facility Southern Great Plains Site, Billings, OK (US)",https://ror.org/01bj3aw27,United States Department of Energy
Caltech/JPL,,
Caltech; UC Irvine,,
Toyota Research Institute,,
"Consejo Nacional de Investigaciones Científicas y Tecnológicas (CONICET), Argentina",https://ror.org/03cqe8w59,National Scientific and Technical Research Council
Northwestern University,https://ror.org/000e0be47,Northwestern University
"Jet Propulstion Laboraory, Caltech",,
Universite Grenoble Alpes,https://ror.org/02rx3b187,Grenoble Alpes University
"University of Heidelberg, UCLA",https://ror.org/038t36y30,Heidelberg University
"LESIA, Observatoire de Paris, Université PSL, CNRS, Sorbonne Université, Université de Paris, 5 place Jules Janssen, 92195 Meudon, France",https://ror.org/02eptjh02,Laboratory of Space Studies and Instrumentation in Astrophysics
"California Institute of Technology, Pasadena, CA, U.S.A.",https://ror.org/05dxps055,California Institute of Technology
"Wyoming INBRE Bioinformatics Core, University of Wyoming",https://ror.org/01485tq96,University of Wyoming
"BC Scientific Consulting, Stony Brook, NY (US)",,
"Saga University, Saga (JP)",https://ror.org/04f4wg107,Saga University
" Division of Geological & Planetary Sciences, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
NORSAR,https://ror.org/02vw8cm83,Norsar
"Caltech, Sorbonne Université",https://ror.org/02en5vm52,Sorbonne University
"Ecole polytechnique, LMS, CNRS",,
"Department of Electrical Engineering, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
Jet Propulsion Lab Caltech,,
" Seismological Laboratory, California Institute of Technology, Pasadena, CA(US)",https://ror.org/05dxps055,California Institute of Technology
"The University of Alabama, Tuscaloosa, AL USA",https://ror.org/03xrrjk67,University of Alabama
"Department of Physics, University of Toronto, Toronto, ON (CA)",https://ror.org/03dbr7087,University of Toronto
"Seismological Laboratory, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
"Department of Physics & Atmospheric Science, Dalhousie University, Halifax, NS (CA)",https://ror.org/01e6qks80,Dalhousie University
"Theoretical Quantum Physics Laboratory, RIKEN and Department of Physics, University of Michigan",https://ror.org/00jmfr291,University of Michigan–Ann Arbor
"LERMA, Observatoire de Paris - PSL Research University, Paris (FR)",,
"California Institute of Techonolgy, Pasadena, CA (US)",https://ror.org/05dxps055,California Institute of Technology
Colorado School of Mines,https://ror.org/04raf6v53,Colorado School of Mines
Institute Laue-Langevin and University of Grenoble Alpes,,
"Department of Molecular Reproduction, Development and Genetics, Indian Institute of Science, Bangalore, India 560012",https://ror.org/04dese585,Indian Institute of Science Bangalore
University of Pennsylvania,https://ror.org/00b30xv10,University of Pennsylvania
"['California Institute of Technology, Pasadena, CA (US)']",https://ror.org/05dxps055,California Institute of Technology
"University of Toronto, Toronto, Ontario (CAN)",https://ror.org/03dbr7087,University of Toronto
"Karolinska Institute, Caltech",https://ror.org/056d84691,Karolinska Institute
Cedars-Sinai Medical Center,https://ror.org/02pammg90,Cedars-Sinai Medical Center
"Canadian Mennonite University, 500 Shaftesbury Blvd, Winnipeg, MB R3P 2N2",https://ror.org/046qgfw50,Canadian Mennonite University
Institut Laue-Langevin and Univ. Grenoble Alpes,,
"Istituto di Astrofisica e Planetologia Spaziali-Istituto Nazionale di Astrofisica, Roma, Italy",https://ror.org/0141xw169,Institute for Space Astrophysics and Planetology
JPL,https://ror.org/027k65916,Jet Propulsion Lab
Yale School of Medicine,https://ror.org/03v76x132,Yale University
University of Delaware,https://ror.org/01sbq1a82,University of Delaware
UC Boulder,https://ror.org/02ttsq026,University of Colorado Boulder
"Cooperative Institute for Research in the Atmosphere, Colorado State University, Fort Collins, CO, USA",https://ror.org/03k1gpj17,Colorado State University
"Karlsruhe Institute of Technology (KIT), Institute of Meteorology and Climate Research (IMK-ASF), Karlsruhe (DE)",https://ror.org/04t3en479,Karlsruhe Institute of Technology
Weizmann Institute of Science,https://ror.org/0316ej306,Weizmann Institute of Science
"California Institute of Technology, Pasadena, CA (US)",https://ror.org/05dxps055,California Institute of Technology
Weizmann Institute,https://ror.org/0316ej306,Weizmann Institute of Science
"University of Toronto, Toronto, ON, CAN",https://ror.org/03dbr7087,University of Toronto
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109, USA",,
University of Plymouth,https://ror.org/008n7pv89,University of Plymouth
"Deutsches Zentrum für Luft- und Raumfahrt, Institut für Physik der Atmosphäre, Oberpfaffenhofen (DE)",https://ror.org/04bwf3e34,German Aerospace Center
Northwestern,https://ror.org/000e0be47,Northwestern University
"Research Institute of Basic Sciences, Seoul National University, Seoul, Korea",https://ror.org/04h9pn542,Seoul National University
"LERMA, Sorbonne Universités - UPMC Univ Paris 06, Paris (FR)‌‌‌‌‌‌‌‏‏‎‬",,
"Caltech, Mechanical and Civil Engineering",https://ror.org/05dxps055,California Institute of Technology
Columbia University,https://ror.org/00hj8s172,Columbia University
University of Washington,https://ror.org/00cvxb145,University of Washington
"NASA Jet Propulsion Laboratory / Columbus Technologies, Inc. / Columbia University",,
"Stockholm University, Stockholm (SE)",https://ror.org/05f0yaq80,Stockholm University
"Université Côte d’Azur, IRD, CNRS, Observatoire de la Côte d’Azur, Géoazur, Institut Universitaire de France",,
"Normal University High School, Normal, Illinois",,
Energy Development Corporation (PH),,
"Deutscher Wetterdienst, Hohenpeissenberg, Germany (DE) and School of Earth, Atmospheric and Life Sciences, University of Wollongong, Wollongong, NSW (AU)",,
"NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA",,
California State University Fullerton,https://ror.org/02avqqw26,"California State University, Fullerton"
Microsoft,https://ror.org/00d0nc645,Microsoft (United States)
"Department of Biology, High Point University, High Point, NC, USA 27268",https://ror.org/029qx3s09,High Point University
"Johns Hopkins Applied Physics Laboratory, Laurel, MD, USA",https://ror.org/029pp9z10,Johns Hopkins University Applied Physics Laboratory
Nevada State College,https://ror.org/0081xr281,Nevada State College
"Bureau of Meteorology, Darwin, NT (AU)",https://ror.org/04dkp1p98,Bureau of Meteorology
"Finnish Meteorological Institute, Sodankylä (FI)",https://ror.org/05hppb561,Finnish Meteorological Institute
"Howard Hughes Medical Institute, Division of Biology and Biological Engineering, California Institute of Technology",,
Caltech - Jet Propulsion Laboratory,,
Center for Bioinformatics Tübingen,https://ror.org/03a1kwz48,University of Tübingen
CIRA/ Colorado State University,https://ror.org/03k1gpj17,Colorado State University
"Japan Aerospace Exploration Agency (JAXA), Tsukuba (JP)",https://ror.org/059yhyy33,Japan Aerospace Exploration Agency
"University of Bern, ETH Zurich",,
RIKEN Center for Biosystems Dynamics Research,https://ror.org/023rffy11,RIKEN Center for Biosystems Dynamics Research
"NASA Armstrong Flight Research Center, Edwards, CA (US)",https://ror.org/03em45j53,Armstrong Flight Research Center
"Royal Belgian Institute for Space Aeronomy, Brussels (BE),",https://ror.org/03vfw8w96,Royal Belgian Institute for Space Aeronomy
"Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing (CN)",https://ror.org/0424h4e32,Institute of Atmospheric Physics
Kansas State University,https://ror.org/05p1j8758,Kansas State University
Swarthmore College,https://ror.org/012dg8a96,Swarthmore College
"Centre for Atmospheric Chemistry, University of Wollongong, Wollongong, NSW (AU)",https://ror.org/00jtmb277,University of Wollongong
"Harvard University, Cambridge, MA (US)",https://ror.org/03vek6s52,Harvard University
"Xianghe Observatory of Whole Atmosphere, Institute of Atmospheric Physics, Chinese Academy of Sciences, Xianghe, China",https://ror.org/0424h4e32,Institute of Atmospheric Physics
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA",,
Texas A&M University,https://ror.org/01f5ytq51,Texas A&M University
"Department of Life Science, Faculty of Science and Engineering, Setsunan University, Neyagawa, Osaka 572-8508, Japan",https://ror.org/0418a3v02,Setsunan University
Rensselaer Polytechnic Institute,https://ror.org/01rtyzb94,Rensselaer Polytechnic Institute
"Department of Chemistry, University of California, Irvine, CA, USA",https://ror.org/04gyf1771,"University of California, Irvine"
"Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU)",,
Oregon State University,https://ror.org/00ysfqy60,Oregon State University
"Wisconsin Educational Communications Board, WLEF, Park Falls, WI (US)",https://ror.org/04drdpz74,Wisconsin Educational Communications Board
CalTech,https://ror.org/05dxps055,California Institute of Technology
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, California, USA",https://ror.org/05dxps055,California Institute of Technology
"AeroMeteo Service, Białystok (PL)",,
"Institute of Environmental Physics, University of Bremen, Bremen (DE);",https://ror.org/04ers2y35,University of Bremen
University of Wyoming,https://ror.org/01485tq96,University of Wyoming
Princess Margaret Cancer Centre,https://ror.org/01tajhr18,Princess Margaret Hospital
"Department of Physics & Atmospheric Science, Dalhousie University, Halifax, NS, CA",https://ror.org/01e6qks80,Dalhousie University
Space Science Institute,https://ror.org/046a9q865,Space Science Institute
"Embryology: Concepts & Techniques in Modern Developmental Biology, Marine Biological Laboratory, Woods Hole, MA, 02543; University of Alabama at Birmingham, Birmingham, AL 35294",,
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra",https://ror.org/04n0g0b29,Pompeu Fabra University
"National Center for Atmospheric Research, Boulder, CO (US)",https://ror.org/05cvfcr44,National Center for Atmospheric Research
"UC Davis, Caltech",,
"Earth-Life Science Institute, Tokyo Institute of Technology, Ookayama, Meguro-ku, Tokyo, Japan",,
Brigham Young University,https://ror.org/047rhhm47,Brigham Young University
Cornell,https://ror.org/05bnh6r87,Cornell University
"University of Science and Technology, China",https://ror.org/02czkny70,Hefei University of Technology
University of Bern,https://ror.org/02k7v4d05,University of Bern
University of Texas,https://ror.org/00hj54h04,The University of Texas at Austin
"Laboratoire d'Etudes  du Rayonnement et de la Matière en Astrophysique et Atmosphères (LERMA), Sorbonne Université, CNRS, Paris (FR)",,
Calech,https://ror.org/05dxps055,California Institute of Technology
Bowdoin College,https://ror.org/03gh96r95,Bowdoin College
"Division of Biology and Biological Engineering, California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA.",https://ror.org/05dxps055,California Institute of Technology
University of Wisconsin-Milwaukee,https://ror.org/031q21x57,University of Wisconsin-Milwaukee
"Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU)",https://ror.org/00jtmb277,University of Wollongong
"Unité Mixte de Service (UMS 3365), Observatoire des Sciences de l’Univers à La Réunion (OSU-R), Université de la Réunion, Saint-Denis de la Réunion (FR)",,
"NASA Ames Research Center, Moffett Field, CA (US)",https://ror.org/02acart68,Ames Research Center
University of Toronto,https://ror.org/03dbr7087,University of Toronto
JPL-Caltech,,
"Max Planck Institute for Biogeochemistry, Jena (DE)",https://ror.org/051yxp643,Max Planck Institute for Biogeochemistry
"Pacific Northwest National Laboratory, Richland, WA (US)",https://ror.org/05h992307,Pacific Northwest National Laboratory
"Department of Applied Physics, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
"INAF-IAPS, Via del Fosso del Cavaliere, Rome, Italy",https://ror.org/02gh4kt33,National Institute for Astrophysics
UNC,https://ror.org/0130frc33,University of North Carolina at Chapel Hill
"1 Department of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada 2 Metabolic Disorders and Complications Program, and Brain Repair and Integrative Neuroscience Program, Research Institute of the McGill University Health Centre, Montreal, Quebec, Canada 3 Division of Experimental Medicine, Department of Medicine, McGill University, Montreal, Quebec, Canada 4 Department of Genetics, Harvard Medical School, Boston, MA, USA",,
"Department of Statistics, Pennsylvania State University, University Park, PA",https://ror.org/04p491231,Pennsylvania State University
UCSC,https://ror.org/03s65by71,"University of California, Santa Cruz"
Dartmouth College,https://ror.org/049s0rh22,Dartmouth College
King Saud University,https://ror.org/02f81g417,King Saud University
Overleaf,,
"Bayerisches Geoinstitut, Universität Bayreuth, Bayreuth, Germany",https://ror.org/0234wmv40,University of Bayreuth
"Wisconsin Educational Communications Board, Park Falls, WI (US)",https://ror.org/04drdpz74,Wisconsin Educational Communications Board
University of Utah,https://ror.org/03r0ha626,University of Utah
"Division of Biology and Biological Engineering, Caltech",https://ror.org/05dxps055,California Institute of Technology
University of California Riverside,https://ror.org/03nawhv43,"University of California, Riverside"
" Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU) ",,
"LPG, UMR 6112, CNRS, Université de Nantes, 2 rue de la Houssinière, Nantes, France",https://ror.org/03gnr7b55,University of Nantes
