affiliation,searchString_Affiliation,ROR_Affiliation,organizationLookupName_Affiliation,country_Affiliation,match_Affiliation,chosen_Affiliation,score,numberOfResults_Affiliation,valid,COMMENTS
ï»¿Amgen-CBEA,,https://ror.org/03g03ge92,Amgen (United States),United States,COMMON TERMS,,,0,FALSE,
Instituto de Investigaciones GeolÃ³gicas of Chile,,,,,No Match,,,2,FALSE,
Pew Charitable Trust,Pew Charitable Trust,https://ror.org/02xhk2825,Pew Charitable Trusts,United States,COMMON TERMS,TRUE,0.98,11,TRUE,
The EMBL European Bioinformatics Institute (Germany and UK),The EMBL European Bioinformatics Institute (Germany,https://ror.org/03mstc592,European Molecular Biology Laboratory,United Kingdom,COMMON TERMS,TRUE,1,4,TRUE,
Southern California Earthquake Center (SCEC),Southern California Earthquake Center (SCEC),https://ror.org/03vhnve41,Southern California Earthquake Center,United States,COMMON TERMS,TRUE,1,12,TRUE,
National Aeronautics and Space Agency,,https://ror.org/027ka1x80,National Aeronautics and Space Administration,,No Match,,,34,FALSE,
National Science Foundation,National Science Foundation,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,TRUE,1,20,TRUE,
New Mexico Bureau of Mines and Mineral Resources,,https://ror.org/005p9kw61,New Mexico Institute of Mining and Technology,,No Match,,,21,FALSE,
NASA,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,1,TRUE,
This material is based upon work supported by the National Science Foundation under Grant No. IUSE-1915544 to LKR and the National Institute of General Medical Sciences of the National Institute of Health Award R25GM130517 to LKR. The Genomics Education Partnership is fully financed by Federal moneys. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.,,,,,No Match,,,38,FALSE,Too many
Geological Society of America/Penrose,,https://ror.org/0029f7m05,Geological Society of America,United States,COMMON TERMS,,,19,FALSE,
ONR,ONR,https://ror.org/00rk2pe57,Office of Naval Research,United States,ACRONYM,TRUE,0.9,2,TRUE,
This research was supported by start-up funds from Weinberg College of Arts and Sciences and the Molecular Biosciences department at Northwestern University.,the Molecular Biosciences department at Northwestern University.,https://ror.org/000e0be47,Northwestern University,United States,COMMON TERMS,TRUE,1,55,TRUE,
Sigma Xi,Sigma Xi,https://ror.org/04nmj5x57,Sigma Xi,United States,PHRASE,TRUE,1,1,TRUE,
National Institute of Health,National Institute of Health,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,1,26,TRUE,Need context. Typo? Italy or U.S.? 
Department of Health and Human Services,Department of Health,https://ror.org/00b9jhh55,Department of Health and Human Services,Australia,PHRASE,TRUE,1,50,TRUE,
This work was supported by National Institutes of Health R21MH108970 and R35GM135160 (S.L.G).,This work was supported by National Institutes of Health R21MH108970 and R35GM135160 (S.L.G).,https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,21,TRUE,
Toyota Research Institute,,,,,No Match,,,20,FALSE,
Geological Society of America student research grant,,https://ror.org/0029f7m05,Geological Society of America,,No Match,,,19,FALSE,
"""Jet Propulsion Laboratory, California Institute of Technology, under a contract with the National Aeronautics and Space Administration""",Jet Propulsion Laboratory,https://ror.org/027k65916,Jet Propulsion Lab,United States,COMMON TERMS,TRUE,1,13,TRUE,
"""Jet Propulsion Laboratory, California Institute of Technology, under a contract with the National Aeronautics and Space Administration""",California Institute of Technology,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,TRUE,1,13,TRUE,
Simons Fellows of the Life Sciences Research Foundation,,https://ror.org/0195dxj21,Life Sciences Research Foundation,,No Match,,,13,FALSE,
Earth Observatory of Singapore,Earth Observatory of Singapore,https://ror.org/01167a838,Earth Observatory of Singapore,Singapore,PHRASE,TRUE,1,3,TRUE,
Defense Advanced Research Projects Agency,Defense Advanced Research Projects Agency,https://ror.org/02caytj08,Defense Advanced Research Projects Agency,United States,PHRASE,TRUE,1,17,TRUE,
Toyota Research Institute,,,,,No Match,,,20,FALSE,
National Institues of Health,National Institues of Health,https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,0.96,17,TRUE,Need context. Typo? Italy or U.S.? 
National Science Foundation Division of Atmospheric and Geospace Sciences,,https://ror.org/037gd6g64,Division of Atmospheric and Geospace Sciences,United States,COMMON TERMS,,,40,FALSE,
US Geological Survey (USGS),US Geological Survey (USGS),https://ror.org/035a68863,United States Geological Survey,United States,COMMON TERMS,TRUE,1,5,TRUE,
"""SJM is funded by a grant from the National Human Genome Research Institute, National Institutes of Health (U41HG000739) to Norbert Perrimon (PI), Nicholas Brown (co-PI). PPC and TML are funded by a grant from the National Human Genome Research Institute, National Institutes of Health (R01HG006753) to TML.""",Nicholas Brown (co-PI). PPC and TML are funded by a grant from the National Human Genome Research Institute,https://ror.org/00baak391,National Human Genome Research Institute,United States,COMMON TERMS,TRUE,1,66,TRUE,
"""SJM is funded by a grant from the National Human Genome Research Institute, National Institutes of Health (U41HG000739) to Norbert Perrimon (PI), Nicholas Brown (co-PI). PPC and TML are funded by a grant from the National Human Genome Research Institute, National Institutes of Health (R01HG006753) to TML.""",National Institutes of Health (U41HG000739) to Norbert Perrimon (PI),https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,66,TRUE,Too many
ONR Young Investigator Award,ONR,https://ror.org/00rk2pe57,Office of Naval Research,United States,ACRONYM,TRUE,0.9,16,TRUE,
NASA Cassini project,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,17,TRUE,
The National Centre of Competence in Research (NCCR) Materials Revolution: Computational Design and Discovery of Novel Materials (MARVEL) of the Swiss National Science Foundation (SNSF),Discovery of Novel Materials (MARVEL) of the Swiss National Science Foundation (SNSF),https://ror.org/00yjd3n13,Swiss National Science Foundation,Switzerland,COMMON TERMS,TRUE,1,57,TRUE,
CYE was funded by the Swiss National Science Foundation grant PP00P3_190072.,,https://ror.org/00yjd3n13,Swiss National Science Foundation,Switzerland,COMMON TERMS,,,19,FALSE,
"""Fundo Europeu de Desenvolvimento Regional funds through the COMPETE 2020 - Operacional Programme for Competitiveness and Internationalisation (POCI), Portugal 2020, and by Portuguese funds through the FundaÃ§Ã£o para a CiÃªncia e a Tecnologia (FCT) / MinistÃ©rio da CiÃªncia, Tecnologia e Ensino Superior in the framework of the project POCI-01-0145-FEDER-029471 (PTDC/BIA-BID/29471/2017) to TJD. DRMR received a predoctoral fellowship from FCT (SFRH/BD/143985/2019). CMA and TJD salaries were also supported by the FCT: CEECIND/01985/2018 and CEECIND/00771/2017, respectively.""",and by Portuguese funds through the FundaÃ§Ã£o para a CiÃªncia e a Tecnologia (FCT) / MinistÃ©rio da CiÃªncia,https://ror.org/00snfqn58,FundaÃ§Ã£o para a CiÃªncia e Tecnologia,Portugal,COMMON TERMS,TRUE,1,16,TRUE,
NSF,NSF,https://ror.org/021nxhr62,National Science Foundation,United States,ACRONYM,TRUE,0.9,6,TRUE,
Amgen,Amgen,https://ror.org/03g03ge92,Amgen (United States),United States,COMMON TERMS,TRUE,1,9,TRUE,
Phelps Dodge Fund,,,,,No Match,,,11,FALSE,
Braun Trust,,,Carl F. Braun Trust,,No Result,,,0,FALSE,
Natural Sciences and Engineering Research Council of Canada,Natural Sciences and Engineering Research Council of Canada,https://ror.org/01h531d29,Natural Sciences and Engineering Research Council,Canada,COMMON TERMS,TRUE,0.91,8,TRUE,
John Templeton Foundation,John Templeton Foundation,https://ror.org/035tnyy05,John Templeton Foundation,United States,PHRASE,TRUE,1,17,TRUE,
National Institutes of Health Director's Pioneer Award,,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,,,16,FALSE,
Programme National de PlanÃ©tologie (PNP),Programme National de PlanÃ©tologie,https://ror.org/04kdfz702,Institut National des Sciences de l'Univers,France,PHRASE,TRUE,0.9,17,TRUE,
Army Research Office,,https://ror.org/05epdh915,United States Army Research Office,United States,PHRASE,,,14,FALSE,
NIH/NRSA,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,7,TRUE,
US National Science Foundation (NSF),NSF,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,TRUE,1,5,TRUE,
"""Fly-CURE (K. Bieser, J. Kagey, and A. Vrailas-Mortimer) is funded by a National Science Foundation IUSE Award (NSF 2021146).""",,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,31,FALSE,
Simons Foundation Collaboration on the Origins of Life,,https://ror.org/01cmst727,Simons Foundation,United States,PHRASE,,,16,FALSE,
MEXT KAKENHI,MEXT,https://ror.org/048rj2z13,"Ministry of Education, Culture, Sports, Science and Technology",Japan,ACRONYM,TRUE,0.9,9,TRUE,
Conoco Fellowship,,,,,No Match,,,13,FALSE,
"""Chinese Academy of Sciences,, National Natural Science Foundation of China and US NSF""",National Natural Science Foundation of China,https://ror.org/01h0zpd94,National Natural Science Foundation of China,China,PHRASE,TRUE,1,22,TRUE,Too many
"""Chinese Academy of Sciences,, National Natural Science Foundation of China and US NSF""",Chinese Academy of Sciences,https://ror.org/034t30j35,Chinese Academy of Sciences,China,PHRASE,TRUE,1,22,TRUE,Too many
Funding The Samsung Science and Technology Foundation under Project Number SSTF-BA1501-52; National Research Foundation of Korea grant funded by the Korean government (MEST) [2019R1A6A1A10073437 to J.K.].,National Research Foundation of Korea grant funded by the Korean government (MEST) [2019R1A6A1A10073437 to J.K.].,https://ror.org/013aysd81,National Research Foundation of Korea,South Korea,COMMON TERMS,TRUE,1,8,TRUE,Too many
Heising-Simons foundation,Heising-Simons foundation,https://ror.org/01mp52y34,Heising-Simons Foundation,United States,PHRASE,TRUE,1,18,TRUE,
Atlantic Innovation Fund,,,,,No Match,,,19,FALSE,
JST-CREST,JST-CREST,https://ror.org/00097mb19,Japan Science and Technology Agency,Japan,ACRONYM,TRUE,0.9,5,TRUE,
Chinese Natural Science Foundation,,https://ror.org/01h0zpd94,National Natural Science Foundation of China,China,PHRASE,,,16,FALSE,
Amazon Web Services,,https://ror.org/04mv4n011,Amazon (United States),United States,PHRASE,,,15,FALSE,
US Air Force Office of Scientific Research,,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,PHRASE,,,3,FALSE,
U.S. Army Research Laboratory,U.S. Army Research Laboratory,https://ror.org/011hc8f90,United States Army Research Laboratory,United States,PHRASE,TRUE,1,10,TRUE,
"""NSF, NIGMS""",NSF,https://ror.org/021nxhr62,National Science Foundation,United States,ACRONYM,TRUE,0.9,7,TRUE,Need to split. Also: https://ror.org/04q48ey07 - National Institute of General Medical Sciences
"""NASA, NSERC """,NASA NSERC,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,10,TRUE,
NSERC PGS-D,NSERC,https://ror.org/01h531d29,Natural Sciences and Engineering Research Council,Canada,ACRONYM,TRUE,0.9,3,TRUE,
Department of Energy (DOE),,https://ror.org/01bj3aw27,United States Department of Energy,United States,PHRASE,,,18,FALSE,
NIH/NICHD,NIH NICHD,https://ror.org/01cwqze88,National Institutes of Health,United States,ACRONYM,TRUE,0.9,7,TRUE,Need to split. Also: https://ror.org/04byxyr05 - Eunice Kennedy Shriver National Institute of Child Health and Human Development
Bendix Field Engineering Corporation,Bendix Field Engineering Corporation,https://ror.org/0294j1w75,Bendix Field Engineering Corporation (United States),United States,PHRASE,TRUE,1,19,TRUE,
"""U.S.  Department  of  Energy,  Office  of  Science,  Office  of  Basic  Energy  Sciences""",Office  of  Science,https://ror.org/00mmn6b08,Office of Science,United States,PHRASE,TRUE,1,29,TRUE,
"""U.S.  Department  of  Energy,  Office  of  Science,  Office  of  Basic  Energy  Sciences""",U.S.  Department  of  Energy,https://ror.org/01bj3aw27,United States Department of Energy,United States,PHRASE,TRUE,1,29,TRUE,
"""U.S.  Department  of  Energy,  Office  of  Science,  Office  of  Basic  Energy  Sciences""",Office  of  Basic  Energy  Sciences,https://ror.org/05mg91w61,Office of Basic Energy Sciences,United States,PHRASE,TRUE,1,29,TRUE,
Exxon Education Foundation,,https://ror.org/01xcepn55,ExxonMobil (United States),United States,PHRASE,,,19,FALSE,
UCSF Center for Systems and Synthetic Biology,UCSF,https://ror.org/043mz5j54,"University of California, San Francisco",United States,ACRONYM,TRUE,0.9,44,TRUE,
Canadian Institutes of Health Research Doctoral Research Award,,https://ror.org/01gavpb45,Canadian Institutes of Health Research,Canada,PHRASE,,,12,FALSE,
Alan Moffet Funds,,,,,No Match,,,14,FALSE,"Moffet was a Caltech alumn, Director of OVRO, and Caltech faculty"
La Fondation Pierre Gilles de Gennes,,https://ror.org/04trj1363,Fondation Pierre-Gilles de Gennes pour la Recherche,France,PHRASE,,,15,FALSE,
Northern California Geological Society Richard Chambers Memorial Scholarship,,,Northern California Geological Society,,No Match,,,9,FALSE,
Natural Sciences and Engineering Research Council of Canada (NSERC),Natural Sciences and Engineering Research Council of Canada (NSERC),https://ror.org/01h531d29,Natural Sciences and Engineering Research Council,Canada,COMMON TERMS,TRUE,1,8,TRUE,
The study was financed by National Science Centre (Poland) grant 2013/09/B/NZ8/03317 to Zofia M. Prokop,,https://ror.org/03ha2q922,National Science Center,Poland,PHRASE,,,0,FALSE,
Xavier University Lechleiter Fund,Xavier University,https://ror.org/00f266q65,Xavier University,United States,PHRASE,TRUE,1,20,TRUE,
"""The Federal Ministry of Education and Research (BMBF, Germany) - Virtual Liver Network""",The Federal Ministry of Education and Research (BMBF,https://ror.org/04pz7b180,Federal Ministry of Education and Research,Germany,COMMON TERMS,TRUE,1,15,TRUE,
A grant of the University of Tuebingen for young scientist support,,https://ror.org/03a1kwz48,University of Tübingen,Germany,PHRASE,,,20,FALSE,
The NASA Cassini Project,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,17,TRUE,
National Institute of General Medical Sciences of the National Institutes of Health,,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,PHRASE,,,14,FALSE,
NSF/EAR,NSF EAR,https://ror.org/05v01mk25,Division of Earth Sciences,United States,ACRONYM,TRUE,0.9,6,TRUE,
The Alfred P. Sloan Foundation,The Alfred P. Sloan Foundation,https://ror.org/052csg198,Alfred P. Sloan Foundation,United States,PHRASE,TRUE,1,14,TRUE,
NASA Carbon Monitoring Systems program,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,20,TRUE,
Grant in Aid for Scientific Research from MEXT Japan,MEXT,https://ror.org/048rj2z13,"Ministry of Education, Culture, Sports, Science and Technology",Japan,ACRONYM,TRUE,1,1,TRUE,
"""The Federal Ministry of Education and Research (BMBF, Germany) - MedSys (Medical Systems Biology)  project Spher4Sys""",The Federal Ministry of Education and Research (BMBF,https://ror.org/04pz7b180,Federal Ministry of Education and Research,Germany,COMMON TERMS,TRUE,1,14,TRUE,
NSF Marine Geology and Geophysics,NSF Marine Geology and Geophysics,https://ror.org/05wqqhv83,Division of Ocean Sciences,United States,PHRASE,TRUE,1,3,TRUE,
"""Research supported by New Hampshire- INBRE through an Institutional Development Award (IDeA), P20GM103506, from the National Institute of General Medical Sciences of the NIH.""",NIH,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,COMMON TERMS,TRUE,1,10,TRUE,
"""Beckman Institute for CLARITY, Optogenetics and Vector Engineering Research at Caltech""",,https://ror.org/05dxps055,California Institute of Technology,,No Match,,,48,FALSE,
Camille and Henry Dreyfus Foundation,Camille and Henry Dreyfus Foundation,https://ror.org/019p8h045,Camille and Henry Dreyfus Foundation,United States,PHRASE,TRUE,1,18,TRUE,
NSF GRFP,NSF GFRP,https://ror.org/021nxhr62,National Science Foundation,United States,ACRONYM,TRUE,0.9,6,TRUE,
Company of Biologists Scientific Meeting,,https://ror.org/0033z1132,Company of Biologists,United Kingdom,PHRASE,,,12,FALSE,
American Philosophical Society Lewis and Clark Fund for Exploration and Field Research in Astrobiology,American Philosophical Society Lewis,https://ror.org/04egvf158,American Philosophical Society,United States,COMMON TERMS,TRUE,0.91,49,TRUE,
National Key R&D Plan,,,,,No Match,,,26,FALSE,
Jacobs Institute for Molecular Engineering for Medicine (Caltech),,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,,,19,FALSE,
NASA Solar System Workings Program,NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration,United States,ACRONYM,TRUE,0.9,20,TRUE,
Rosen Center at Caltech,,https://ror.org/05dxps055,California Institute of Technology,United States,No Match,,,16,FALSE,
National Science Foundation Graduate Student Research Fellowship,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,19,FALSE,
National 270 Science Foundation,,https://ror.org/05v01mk25,Division of Earth Sciences,United States,PHRASE,,,20,FALSE,
This work was supported by National Institutes of Health grant R01-GM055796 to SKL and T32-HL07188 to VAS.,This work was supported by National Institutes of Health grant R01-GM055796 to SKL,https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,39,TRUE,
US National Science Foundation,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,4,FALSE,
Packard Foundation,,https://ror.org/032atxq54,David and Lucile Packard Foundation,United States,PHRASE,,,18,FALSE,
Perimeter Institute for Theoretical Physics,Perimeter Institute for Theoretical Physics,https://ror.org/013m0ej23,Perimeter Institute,Canada,PHRASE,TRUE,1,17,TRUE,
U.S. Geological Survey,U.S. Geological Survey,https://ror.org/035a68863,United States Geological Survey,United States,PHRASE,TRUE,1,6,TRUE,
Allen Discovery Center,,https://ror.org/03cpe7c52,Allen Institute,United States,PHRASE,,,17,FALSE,
Chinese Academy of Sciences,Chinese Academy of Sciences,https://ror.org/034t30j35,Chinese Academy of Sciences,China,PHRASE,TRUE,1,19,TRUE,
DOE Office of Science User Facility,,https://ror.org/00mmn6b08,Office of Science,United States,PHRASE,,,16,FALSE,
This material is based upon work supported by the National Science Foundation under Grant No. IUSE-1915544 to LKR and the National Institute of General Medical Sciences of the National Institute of Health Award R25GM130517 to LKR. The Genomics Education Partnership is fully financed by Federal moneys. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.,,,,,No Match,,,38,FALSE,Too many
French Agence Nationale de la Recherche (ANR Project APOSTIC),French Agence Nationale de la Recherche (ANR Project APOSTIC),https://ror.org/00rbzpz17,Agence Nationale de la Recherche,France,COMMON TERMS,TRUE,1,16,TRUE,
Department of Energy Office of Science,,https://ror.org/00mmn6b08,Office of Science,United States,PHRASE,,,17,FALSE,
Allan V. C. Davis Foundation,,,,,No Match,,,17,FALSE,
Helen Hay Whitney Postdoctoral Fellowship,,https://ror.org/037ebw447,Helen Hay Whitney Foundation,United States,PHRASE,,,12,FALSE,
National Science Foundation,National Science Foundation,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,TRUE,1,20,TRUE,
PHS,PHS,https://ror.org/05xf94514,United States Public Health Service,United States,ACRONYM,TRUE,0.9,8,TRUE,
US Office of Naval Research,US Office of Naval Research,https://ror.org/00rk2pe57,Office of Naval Research,United States,COMMON TERMS,TRUE,0.94,8,TRUE,
JSPS KAKENHI,JSPS,https://ror.org/02m7axw05,Japan Society for the Promotion of Science,United Kingdom,ACRONYM,TRUE,0.9,10,TRUE,
US Air Force Office of Scientific Research through the MURI grant,,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,PHRASE,,,4,FALSE,
National Science Foundation Graduate Research Fellowship,,https://ror.org/021nxhr62,National Science Foundation,United States,PHRASE,,,20,FALSE,
National Research Council,National Research Council,https://ror.org/02eq2w707,"National Academies of Sciences, Engineering, and Medicine",United States,PHRASE,TRUE,1,23,TRUE,
Southern California Earthquake Center,Southern California Earthquake Center,https://ror.org/03vhnve41,Southern California Earthquake Center,United States,PHRASE,TRUE,1,12,TRUE,
National Institute of General Medical Sciences,National Institute of General Medical Sciences,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,PHRASE,TRUE,1,17,TRUE,
Damon Runyon Cancer Research Foundation,Damon Runyon Cancer Research Foundation,https://ror.org/01gd7b947,Damon Runyon Cancer Research Foundation,United States,PHRASE,TRUE,1,18,TRUE,
Department of Energy - Basic Energy Sciences,,https://ror.org/05mg91w61,Office of Basic Energy Sciences,,No Match,,,15,FALSE,
AFOSR,AFOSR,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,ACRONYM,TRUE,0.9,1,TRUE,
Geological Society of America,Geological Society of America,https://ror.org/0029f7m05,Geological Society of America,United States,PHRASE,TRUE,1,19,TRUE,
Caltech (Housner Fund),,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,,,12,FALSE,
Air Force Office of Scientific Research,,https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,United States,PHRASE,,,11,FALSE,
This work was supported by Canadian Mennonite University.,,https://ror.org/046qgfw50,Canadian Mennonite University,Canada,PHRASE,,,20,FALSE,
Kimmel Foundation,,,,United States,PHRASE,,,18,FALSE,
FQXi,,https://ror.org/016en1t86,Foundational Questions Institute,United States,PHRASE,,,0,FALSE,
Caltech,Caltech,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,TRUE,1,1,TRUE,
The work was supported by the Russian Science Foundation (project No. 19-74-20178) and by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,https://ror.org/02mh1ke95,Russian Foundation for Basic Research,Russia,COMMON TERMS,TRUE,1,4,TRUE,
The work was supported by the Russian Science Foundation (project No. 19-74-20178) and by the Russian Foundation for Basic Research (17-00-00282 KOMFI).,The work was supported by the Russian Science Foundation (project No. 19-74-20178),https://ror.org/03y2gwe85,Russian Science Foundation,Russia,COMMON TERMS,TRUE,1,4,TRUE,
Burroughs Welcome Fund Career Award at the Scientific Interface,,https://ror.org/01d35cw23,Burroughs Wellcome Fund,United States,PHRASE,,,15,FALSE,
DOE,,https://ror.org/01bj3aw27,United States Department of Energy,United States,ACRONYM,,,0,FALSE,
Swiss National Science Foundation,Swiss National Science Foundation,https://ror.org/00yjd3n13,Swiss National Science Foundation,Switzerland,PHRASE,TRUE,1,18,TRUE,
Paul G. Allen Frontiers Group and Prime Awarding Agency,,https://ror.org/03cpe7c52,Allen Institute,United States,PHRASE,,,40,FALSE,
National Institute of General Medical Sciences of the National Institutes of Health.,,https://ror.org/04q48ey07,National Institute of General Medical Sciences,United States,PHRASE,,,14,FALSE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
"""Dow, Inc.""",,https://ror.org/032hx4q18,Dow Chemical (United States),United States,PHRASE,,,0,FALSE,
NIH,NIH,https://ror.org/01cwqze88,National Institutes of Health,United States,PHRASE,TRUE,0.9,6,TRUE,
La Fondation Pierre-Gilles de Gennes,La Fondation Pierre-Gilles de Gennes,https://ror.org/04trj1363,Fondation Pierre-Gilles de Gennes pour la Recherche,France,COMMON TERMS,TRUE,0.92,15,TRUE,
Howard Hughes Medical Institute (HHMI),Howard Hughes Medical Institute (HHMI),https://ror.org/006w34k90,Howard Hughes Medical Institute,United States,COMMON TERMS,TRUE,1,19,TRUE,
Caltech â€“ Cecil and Sally Drinkward Fellowship,,,,,No Match,,,22,FALSE,
U.S. Army Research Office Institute for Collaborative Biotechnologies,,,,,No Match,,,5,FALSE,
Atomic Energy Commission,,https://ror.org/03nhmbj89,United States Nuclear Regulatory Commission,United States,No Match,,,13,FALSE,
La Fondation Pierre Gilles de Gennes,,https://ror.org/04trj1363,Fondation Pierre-Gilles de Gennes pour la Recherche,France,COMMON TERMS,,,15,FALSE,
United States Geological Survey,United States Geological Survey,https://ror.org/035a68863,United States Geological Survey,United States,PHRASE,TRUE,1,6,TRUE,
XSEDE,XSEDE,https://ror.org/05524hb64,Extreme Science and Engineering Discovery Environment,United States,ACRONYM,TRUE,0.9,1,TRUE,
USGS,USGS,https://ror.org/035a68863,United States Geological Survey,United States,ACRONYM,TRUE,0.9,1,TRUE,
Indo-US Science and Technology Forum,,https://ror.org/03sw64e71,Indo-US Science and Technology Forum,,No Match,,,5,FALSE,
Ford Foundation Graduate Fellowship,,https://ror.org/02fvtx219,Ford Foundation,,No Match,,,16,FALSE,
GIST-Caltech Collaborative Research,GIST-Caltech Collaborative Research,,,United States,COMMON TERMS,TRUE,0.94,15,TRUE,SPLIT. Caltech AND https://ror.org/024kbgz78 - Gwangju Institute of Science and Technology
"""European Union H2020, INTERACT transnational access""",,https://ror.org/019w4f821,European Union,,No Match,,,32,FALSE,
Department of Energy,,https://ror.org/01bj3aw27,United States Department of Energy,,No Match,,,22,FALSE,
Howard Hughes Medical Institute,Howard Hughes Medical Institute,https://ror.org/006w34k90,Howard Hughes Medical Institute,United States,PHRASE,TRUE,1,19,TRUE,
Finnish Meteorological Institute,Finnish Meteorological Institute,https://ror.org/05hppb561,Finnish Meteorological Institute,Finland,PHRASE,TRUE,1,19,TRUE,
Molecular Software Sciences Institute,Molecular Software Sciences Institute,https://ror.org/03x8p5f11,Molecular Sciences Software Institute,United States,COMMON TERMS,TRUE,1,19,TRUE,
French ministry of public research,,https://ror.org/00rbzpz17,Agence Nationale de la Recherche,France,,,,16,FALSE,
Caltech DeLogi Fund,,https://ror.org/05dxps055,California Institute of Technology,United States,PHRASE,,,12,FALSE,
JPL-RTD/PDF,JPL,https://ror.org/027k65916,Jet Propulsion Lab,United States,ACRONYM,TRUE,0.9,5,TRUE,
NSF | GEO | EAR,NSF GEO EAR,https://ror.org/05v01mk25,Division of Earth Sciences,United States,ACRONYM,TRUE,0.9,18,TRUE,
This research was supported by Colorado State Universityâ€™s Vice President of Research and National Institutes of Health (NIH): R01-NS115947 to F. Hoerndli.,National Institutes of Health (NIH),https://ror.org/01cwqze88,National Institutes of Health,United States,COMMON TERMS,TRUE,1,6,TRUE,SPLIT. NIH AND https://ror.org/03k1gpj17 - Colorado State University
Army Research Office,,https://ror.org/05epdh915,United States Army Research Office,United States,COMMON TERMS,,,14,FALSE,
